,instance,"OVERALL, RunTime(ms)","OVERALL, Throughput(ops/sec)","TOTAL_GCS_G1_Young_Generation, Count","TOTAL_GC_TIME_G1_Young_Generation, Time(ms)","TOTAL_GC_TIME_%_G1_Young_Generation, Time(%)","TOTAL_GCS_G1_Old_Generation, Count","TOTAL_GC_TIME_G1_Old_Generation, Time(ms)","TOTAL_GC_TIME_%_G1_Old_Generation, Time(%)","TOTAL_GCs, Count","TOTAL_GC_TIME, Time(ms)","TOTAL_GC_TIME_%, Time(%)","READ, Operations","READ, AverageLatency(us)","READ, MinLatency(us)","READ, MaxLatency(us)","READ, 95thPercentileLatency(us)","READ, 99thPercentileLatency(us)","READ, Return=OK","READ, Return=ERROR","CLEANUP, Operations","CLEANUP, AverageLatency(us)","CLEANUP, MinLatency(us)","CLEANUP, MaxLatency(us)","CLEANUP, 95thPercentileLatency(us)","CLEANUP, 99thPercentileLatency(us)","READ-FAILED, Operations","READ-FAILED, AverageLatency(us)","READ-FAILED, MinLatency(us)","READ-FAILED, MaxLatency(us)","READ-FAILED, 95thPercentileLatency(us)","READ-FAILED, 99thPercentileLatency(us)","INSERT, Operations","INSERT, AverageLatency(us)","INSERT, MinLatency(us)","INSERT, MaxLatency(us)","INSERT, 95thPercentileLatency(us)","INSERT, 99thPercentileLatency(us)","INSERT, Return=OK",source
0,unikernel_50i,12747.0,78.44983133286263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,7955.357142857143,2930.0,63455.0,17711.0,23551.0,84.0,405.0,1.0,1425.0,1425.0,1425.0,1425.0,1425.0,405.0,8236.288888888888,2784.0,119935.0,18863.0,31183.0,511.0,15950.469667318983,6276.0,188415.0,26863.0,41087.0,511.0,unikernel_base
1,unikernel_50i,14047.0,71.18957784580337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,9951.425531914894,2670.0,141311.0,15735.0,140799.0,94.0,455.0,1.0,1021.0,1021.0,1021.0,1021.0,1021.0,455.0,8893.806593406593,2728.0,177919.0,14735.0,44191.0,451.0,17607.241685144123,5916.0,158847.0,27775.0,145791.0,451.0,unikernel_base
2,unikernel_50i,13596.0,73.55104442483083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,7896.915662650603,2380.0,22815.0,12719.0,14135.0,83.0,406.0,1.0,1597.0,1597.0,1597.0,1597.0,1597.0,406.0,8598.497536945813,3084.0,32303.0,15319.0,19487.0,511.0,17632.52446183953,6760.0,118655.0,26223.0,35679.0,511.0,unikernel_base
3,unikernel_50i,12997.0,76.94083249980764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,8334.25,2394.0,30111.0,17199.0,25391.0,92.0,400.0,1.0,1269.0,1269.0,1269.0,1269.0,1269.0,400.0,7931.6275,2524.0,125503.0,16215.0,24095.0,508.0,16166.405511811023,6040.0,74751.0,26399.0,42623.0,508.0,unikernel_base
4,unikernel_50i,12676.0,78.88923950773115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,7505.289473684211,3142.0,20111.0,13087.0,19903.0,76.0,414.0,1.0,1629.0,1629.0,1629.0,1629.0,1629.0,414.0,7981.231884057971,2524.0,195071.0,14487.0,22623.0,510.0,16023.023529411765,6960.0,211839.0,25215.0,41727.0,510.0,unikernel_base
5,unikernel_50i,12305.0,81.26777732629013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,7351.6625,3102.0,18143.0,13871.0,17631.0,80.0,445.0,1.0,1275.0,1275.0,1275.0,1275.0,1275.0,445.0,8320.229213483146,2778.0,307967.0,15751.0,22671.0,475.0,15517.574736842105,5864.0,103679.0,25775.0,36863.0,475.0,unikernel_base
6,unikernel_50i,12696.0,78.76496534341526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,7998.729411764706,2994.0,28959.0,15351.0,24671.0,85.0,419.0,1.0,1181.0,1181.0,1181.0,1181.0,1181.0,419.0,7923.105011933174,3190.0,157695.0,14023.0,21503.0,496.0,15735.77822580645,6760.0,121471.0,25583.0,51135.0,496.0,unikernel_base
7,unikernel_50i,12973.0,77.08317274339012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,7826.0,3234.0,15199.0,11823.0,13559.0,78.0,436.0,1.0,1286.0,1286.0,1286.0,1286.0,1286.0,436.0,8290.435779816513,2744.0,110015.0,13103.0,19887.0,486.0,16222.325102880659,7132.0,109887.0,23919.0,36447.0,486.0,unikernel_base
8,unikernel_50i,13031.0,76.74008134448623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,7562.9324324324325,1683.0,20767.0,12487.0,15679.0,74.0,423.0,1.0,1277.0,1277.0,1277.0,1277.0,1277.0,423.0,8052.016548463357,2704.0,29151.0,16703.0,24111.0,503.0,17261.10536779324,7432.0,305919.0,28047.0,44095.0,503.0,unikernel_base
9,unikernel_50i,12836.0,77.9058896852602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,7955.828125,3366.0,21871.0,17311.0,19247.0,64.0,428.0,1.0,1221.0,1221.0,1221.0,1221.0,1221.0,428.0,8483.390186915887,2892.0,274687.0,14839.0,22367.0,508.0,15901.96062992126,6512.0,92735.0,25551.0,35231.0,508.0,unikernel_base
10,unikernel_50i,11959.0,83.61903169161302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,7073.781609195402,3116.0,24239.0,12511.0,17215.0,87.0,430.0,1.0,1366.0,1366.0,1366.0,1366.0,1366.0,430.0,7473.43488372093,2502.0,69119.0,12671.0,30623.0,483.0,15069.672877846791,6864.0,168063.0,23135.0,46367.0,483.0,unikernel_base
11,unikernel_50i,12761.0,78.36376459525115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,7538.881720430108,2894.0,19999.0,12751.0,17791.0,93.0,422.0,1.0,1421.0,1421.0,1421.0,1421.0,1421.0,422.0,7468.888625592417,3204.0,23903.0,11655.0,13727.0,485.0,16443.16701030928,7628.0,146303.0,25279.0,34879.0,485.0,unikernel_base
12,unikernel_50i,12826.0,77.96663028223921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,8059.432098765432,2732.0,26751.0,11903.0,20111.0,81.0,434.0,1.0,1431.0,1431.0,1431.0,1431.0,1431.0,434.0,8551.838709677419,2972.0,211711.0,12335.0,17439.0,485.0,16296.19793814433,6500.0,120959.0,23471.0,60287.0,485.0,unikernel_base
13,unikernel_50i,12835.0,77.91195948578107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,7273.314606741573,3516.0,24655.0,16415.0,24463.0,89.0,421.0,1.0,1693.0,1693.0,1693.0,1693.0,1693.0,421.0,7873.299287410927,2896.0,172287.0,15775.0,27455.0,490.0,15579.073469387755,7112.0,95615.0,26639.0,69759.0,490.0,unikernel_base
14,unikernel_50i,12911.0,77.45333436604446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,7713.6,2454.0,25199.0,13431.0,16959.0,85.0,415.0,1.0,1315.0,1315.0,1315.0,1315.0,1315.0,415.0,7763.612048192771,2622.0,27631.0,15359.0,21231.0,500.0,16691.728,6964.0,176767.0,25807.0,41759.0,500.0,unikernel_base
15,unikernel_50i,11800.0,84.7457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,6903.598214285715,2508.0,14695.0,11311.0,12855.0,112.0,391.0,1.0,1306.0,1306.0,1306.0,1306.0,1306.0,391.0,7176.107416879795,2652.0,47167.0,13039.0,17439.0,497.0,14549.53722334004,6096.0,78591.0,22991.0,38463.0,497.0,unikernel_base
16,unikernel_50i,11256.0,88.84150675195451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,6397.782178217822,3250.0,22975.0,10159.0,16767.0,101.0,398.0,1.0,1605.0,1605.0,1605.0,1605.0,1605.0,398.0,7125.479899497487,2800.0,60799.0,13111.0,21247.0,501.0,14490.758483033933,6724.0,100351.0,23903.0,38687.0,501.0,unikernel_base
17,unikernel_50i,11790.0,84.81764206955047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,6796.436781609195,3050.0,18463.0,13247.0,16815.0,87.0,413.0,1.0,1408.0,1408.0,1408.0,1408.0,1408.0,413.0,7303.215496368039,2414.0,110271.0,12719.0,29167.0,500.0,14651.592,6068.0,119103.0,23295.0,46335.0,500.0,unikernel_base
