,instance,"OVERALL, RunTime(ms)","OVERALL, Throughput(ops/sec)","TOTAL_GCS_G1_Young_Generation, Count","TOTAL_GC_TIME_G1_Young_Generation, Time(ms)","TOTAL_GC_TIME_%_G1_Young_Generation, Time(%)","TOTAL_GCS_G1_Old_Generation, Count","TOTAL_GC_TIME_G1_Old_Generation, Time(ms)","TOTAL_GC_TIME_%_G1_Old_Generation, Time(%)","TOTAL_GCs, Count","TOTAL_GC_TIME, Time(ms)","TOTAL_GC_TIME_%, Time(%)","READ, Operations","READ, AverageLatency(us)","READ, MinLatency(us)","READ, MaxLatency(us)","READ, 95thPercentileLatency(us)","READ, 99thPercentileLatency(us)","READ, Return=OK","READ, Return=ERROR","CLEANUP, Operations","CLEANUP, AverageLatency(us)","CLEANUP, MinLatency(us)","CLEANUP, MaxLatency(us)","CLEANUP, 95thPercentileLatency(us)","CLEANUP, 99thPercentileLatency(us)","READ-FAILED, Operations","READ-FAILED, AverageLatency(us)","READ-FAILED, MinLatency(us)","READ-FAILED, MaxLatency(us)","READ-FAILED, 95thPercentileLatency(us)","READ-FAILED, 99thPercentileLatency(us)","INSERT, Operations","INSERT, AverageLatency(us)","INSERT, MinLatency(us)","INSERT, MaxLatency(us)","INSERT, 95thPercentileLatency(us)","INSERT, 99thPercentileLatency(us)","INSERT, Return=OK",source
0,unikernel_50i,8880.0,112.61261261261261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,5777.238095238095,4100.0,8735.0,7067.0,8711.0,84.0,407.0,1.0,1164.0,1164.0,1164.0,1164.0,1164.0,407.0,5794.788697788697,3558.0,23375.0,7523.0,9167.0,509.0,11576.294695481336,7088.0,17967.0,14055.0,14895.0,509.0,unikernel_dce
1,unikernel_50i,9133.0,109.49304719150334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,6149.0609756097565,3476.0,10439.0,8951.0,10055.0,82.0,426.0,1.0,1800.0,1800.0,1800.0,1800.0,1800.0,426.0,6013.901408450704,2936.0,13943.0,8295.0,9631.0,492.0,12035.40650406504,7692.0,29775.0,15343.0,22239.0,492.0,unikernel_dce
2,unikernel_50i,9613.0,104.0257983980027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,6153.1625,3862.0,13127.0,7775.0,11407.0,80.0,413.0,1.0,870.0,870.0,870.0,870.0,870.0,413.0,6236.598062953995,2980.0,31407.0,9455.0,11943.0,507.0,12613.34516765286,8156.0,45855.0,19615.0,23007.0,507.0,unikernel_dce
3,unikernel_50i,8962.0,111.5822361080116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,5616.724137931034,3200.0,9271.0,8131.0,8391.0,87.0,423.0,1.0,1183.0,1183.0,1183.0,1183.0,1183.0,423.0,5964.817966903073,2816.0,26623.0,8559.0,10551.0,490.0,11818.216326530612,5804.0,22015.0,16015.0,19263.0,490.0,unikernel_dce
4,unikernel_50i,10768.0,92.86775631500743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,7397.281690140845,3138.0,136959.0,8215.0,10023.0,71.0,416.0,1.0,1718.0,1718.0,1718.0,1718.0,1718.0,416.0,7875.9182692307695,2356.0,201727.0,8639.0,138239.0,513.0,13236.120857699805,5972.0,149631.0,15927.0,126015.0,513.0,unikernel_dce
5,unikernel_50i,11335.0,88.2223202470225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,6075.269662921349,2698.0,9823.0,8639.0,8839.0,89.0,409.0,1.0,2111.0,2110.0,2111.0,2111.0,2111.0,409.0,7655.958435207824,2202.0,139519.0,9919.0,73343.0,502.0,14858.334661354582,6172.0,151039.0,18639.0,145279.0,502.0,unikernel_dce
6,unikernel_50i,8816.0,113.43012704174228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,5520.0329670329675,4060.0,8959.0,6655.0,7951.0,91.0,402.0,1.0,1048.0,1048.0,1048.0,1048.0,1048.0,402.0,5739.71144278607,3476.0,12479.0,7747.0,8791.0,507.0,11570.587771203156,7764.0,23871.0,13943.0,15655.0,507.0,unikernel_dce
7,unikernel_50i,9063.0,110.33873993158998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,5970.082191780822,2718.0,12759.0,7759.0,9823.0,73.0,420.0,1.0,1226.0,1226.0,1226.0,1226.0,1226.0,420.0,5892.621428571429,2088.0,21343.0,8735.0,11631.0,507.0,11859.92110453649,6140.0,31215.0,16783.0,20047.0,507.0,unikernel_dce
8,unikernel_50i,9476.0,105.52975939214859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,5988.8,4260.0,10983.0,8839.0,10119.0,95.0,424.0,1.0,1372.0,1372.0,1372.0,1372.0,1372.0,424.0,6315.933962264151,3152.0,47839.0,9663.0,13695.0,481.0,12622.066528066529,7816.0,45919.0,19791.0,23215.0,481.0,unikernel_dce
9,unikernel_50i,7815.0,127.95905310300704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,4766.346153846154,2254.0,7623.0,6663.0,6871.0,78.0,432.0,1.0,1251.0,1251.0,1251.0,1251.0,1251.0,432.0,5121.451388888889,1819.0,20591.0,6903.0,8543.0,490.0,10348.485714285714,5804.0,29967.0,13655.0,15287.0,490.0,unikernel_dce
