,instance,"OVERALL, RunTime(ms)","OVERALL, Throughput(ops/sec)","TOTAL_GCS_G1_Young_Generation, Count","TOTAL_GC_TIME_G1_Young_Generation, Time(ms)","TOTAL_GC_TIME_%_G1_Young_Generation, Time(%)","TOTAL_GCS_G1_Old_Generation, Count","TOTAL_GC_TIME_G1_Old_Generation, Time(ms)","TOTAL_GC_TIME_%_G1_Old_Generation, Time(%)","TOTAL_GCs, Count","TOTAL_GC_TIME, Time(ms)","TOTAL_GC_TIME_%, Time(%)","READ, Operations","READ, AverageLatency(us)","READ, MinLatency(us)","READ, MaxLatency(us)","READ, 95thPercentileLatency(us)","READ, 99thPercentileLatency(us)","READ, Return=OK","READ, Return=ERROR","CLEANUP, Operations","CLEANUP, AverageLatency(us)","CLEANUP, MinLatency(us)","CLEANUP, MaxLatency(us)","CLEANUP, 95thPercentileLatency(us)","CLEANUP, 99thPercentileLatency(us)","INSERT, Operations","INSERT, AverageLatency(us)","INSERT, MinLatency(us)","INSERT, MaxLatency(us)","INSERT, 95thPercentileLatency(us)","INSERT, 99thPercentileLatency(us)","INSERT, Return=OK","READ-FAILED, Operations","READ-FAILED, AverageLatency(us)","READ-FAILED, MinLatency(us)","READ-FAILED, MaxLatency(us)","READ-FAILED, 95thPercentileLatency(us)","READ-FAILED, 99thPercentileLatency(us)",source
0,docker_6379i,10465.0,95.55661729574773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,6053.8625,2904.0,8855.0,8055.0,8847.0,80.0,416.0,1.0,1278.0,1278.0,1278.0,1278.0,1278.0,504.0,12629.968253968254,6680.0,43775.0,15975.0,27727.0,504.0,416.0,6643.052884615385,2952.0,170239.0,8767.0,11631.0,docker
1,docker_6379i,10797.0,92.61831990367695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,6033.12,2260.0,19791.0,8831.0,10247.0,100.0,395.0,1.0,1334.0,1334.0,1334.0,1334.0,1334.0,505.0,13475.247524752474,6744.0,290303.0,16751.0,31007.0,505.0,395.0,6816.883544303798,3130.0,115071.0,8895.0,26831.0,docker
2,docker_6379i,11537.0,86.67764583513912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,6294.818181818182,3944.0,11095.0,8471.0,10847.0,77.0,419.0,1.0,1229.0,1229.0,1229.0,1229.0,1229.0,504.0,15411.373015873016,7524.0,540159.0,20399.0,56127.0,504.0,419.0,6371.54415274463,2938.0,65791.0,9039.0,11983.0,docker
3,docker_6379i,10529.0,94.97578117580017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,6554.0123456790125,3322.0,37599.0,9079.0,9927.0,81.0,415.0,1.0,1277.0,1277.0,1277.0,1277.0,1277.0,504.0,13287.361111111111,6236.0,378879.0,15671.0,27039.0,504.0,415.0,6822.744578313253,2478.0,192767.0,8671.0,19503.0,docker
4,docker_6379i,10398.0,96.17234083477592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,6322.8875,4002.0,10959.0,8367.0,8759.0,80.0,391.0,1.0,1212.0,1212.0,1212.0,1212.0,1212.0,529.0,12829.996219281664,7164.0,64767.0,16559.0,29023.0,529.0,391.0,7085.283887468031,3224.0,95039.0,9119.0,35135.0,docker
5,docker_6379i,10448.0,95.71209800918837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,6382.477272727273,3530.0,22783.0,8815.0,20159.0,88.0,413.0,1.0,1465.0,1465.0,1465.0,1465.0,1465.0,499.0,13690.25250501002,7188.0,258943.0,16431.0,32207.0,499.0,413.0,6158.670702179177,3270.0,27007.0,8367.0,12095.0,docker
6,docker_6379i,11697.0,85.4920064973925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,5691.191489361702,3140.0,8511.0,7463.0,8503.0,94.0,416.0,1.0,1431.0,1431.0,1431.0,1431.0,1431.0,490.0,14147.58775510204,5736.0,277503.0,19951.0,55679.0,490.0,416.0,6899.533653846154,2524.0,128319.0,9839.0,17903.0,docker
7,docker_6379i,11453.0,87.31336767659128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,6594.611111111111,4056.0,36735.0,8147.0,9407.0,72.0,401.0,1.0,1183.0,1183.0,1183.0,1183.0,1183.0,527.0,13321.529411764706,7820.0,196991.0,16959.0,39935.0,527.0,401.0,8112.014962593516,2722.0,620031.0,8727.0,16831.0,docker
8,docker_6379i,10864.0,92.04712812960236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,6041.833333333333,3518.0,10207.0,7723.0,8903.0,102.0,420.0,1.0,1312.0,1312.0,1312.0,1312.0,1312.0,478.0,13184.39748953975,7704.0,299519.0,15751.0,27039.0,478.0,420.0,6030.090476190476,3194.0,30575.0,8367.0,10735.0,docker
9,docker_6379i,10880.0,91.91176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,6557.2441860465115,3788.0,19759.0,9295.0,10191.0,86.0,418.0,1.0,1169.0,1169.0,1169.0,1169.0,1169.0,496.0,13619.266129032258,7776.0,163711.0,17247.0,32687.0,496.0,418.0,6513.631578947368,3086.0,52351.0,8663.0,23055.0,docker
10,docker_6379i,11190.0,89.36550491510278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,6350.534246575343,3212.0,25327.0,8287.0,8415.0,73.0,414.0,1.0,1390.0,1390.0,1390.0,1390.0,1390.0,513.0,12907.056530214424,6608.0,79615.0,18431.0,42047.0,513.0,414.0,7149.903381642512,2838.0,259967.0,9111.0,30287.0,docker
11,docker_6379i,10949.0,91.33254178463787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,6041.011904761905,3328.0,9351.0,8199.0,8951.0,84.0,413.0,1.0,1173.0,1173.0,1173.0,1173.0,1173.0,503.0,13467.467196819085,7908.0,280575.0,17407.0,35423.0,503.0,413.0,6922.987893462469,2868.0,295935.0,8823.0,21279.0,docker
12,docker_6379i,10777.0,92.79020135473694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,6523.073170731707,3050.0,22799.0,9047.0,13199.0,82.0,414.0,1.0,1264.0,1264.0,1264.0,1264.0,1264.0,504.0,12834.753968253968,6368.0,84927.0,16183.0,32927.0,504.0,414.0,7695.949275362319,3210.0,388351.0,8359.0,36063.0,docker
13,docker_6379i,10960.0,91.24087591240875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,6547.702380952381,3916.0,30431.0,8695.0,17887.0,84.0,430.0,1.0,1390.0,1390.0,1390.0,1390.0,1390.0,486.0,13378.901234567902,6448.0,196351.0,16207.0,34303.0,486.0,430.0,7107.3348837209305,3482.0,254591.0,8543.0,19119.0,docker
14,docker_6379i,10453.0,95.66631589017507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,6028.717647058824,3528.0,12711.0,8095.0,11767.0,85.0,428.0,1.0,1275.0,1275.0,1275.0,1275.0,1275.0,487.0,13446.685831622177,7808.0,156543.0,16375.0,55359.0,487.0,428.0,6297.401869158878,2796.0,80255.0,8655.0,17391.0,docker
15,docker_6379i,10385.0,96.29272989889263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,6430.505494505494,2892.0,27759.0,8655.0,19871.0,91.0,409.0,1.0,1158.0,1158.0,1158.0,1158.0,1158.0,500.0,13169.096,7320.0,199551.0,16319.0,26175.0,500.0,409.0,6593.691931540342,2636.0,70591.0,8655.0,25615.0,docker
16,docker_6379i,11006.0,90.85953116481919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,6125.360465116279,2910.0,8911.0,8071.0,8759.0,86.0,421.0,1.0,1338.0,1338.0,1338.0,1338.0,1338.0,493.0,13451.371196754564,7592.0,297215.0,16151.0,35711.0,493.0,421.0,6931.874109263658,2298.0,125375.0,8879.0,25167.0,docker
17,docker_6379i,10864.0,92.04712812960236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,6487.205128205128,3038.0,15543.0,9743.0,13207.0,78.0,433.0,1.0,1216.0,1216.0,1216.0,1216.0,1216.0,489.0,13537.99591002045,7784.0,146175.0,17503.0,35807.0,489.0,433.0,8017.618937644342,2814.0,350463.0,9671.0,25071.0,docker
18,docker_6379i,11627.0,86.00670852326482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,7192.164556962025,2868.0,106239.0,7507.0,14559.0,79.0,398.0,1.0,2375.0,2374.0,2375.0,2375.0,2375.0,523.0,13447.789674952199,7088.0,271103.0,16975.0,49119.0,523.0,398.0,7185.085427135678,2966.0,400639.0,8407.0,17407.0,docker
19,docker_6379i,11154.0,89.65393580778196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,6077.905882352941,3762.0,10727.0,8399.0,9703.0,85.0,414.0,1.0,1728.0,1728.0,1728.0,1728.0,1728.0,501.0,14627.62874251497,7540.0,482047.0,19919.0,73087.0,501.0,414.0,6582.712560386473,2852.0,81919.0,8671.0,27263.0,docker
20,docker_6379i,10823.0,92.39582370876836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,7171.530120481928,3674.0,67199.0,8711.0,27631.0,83.0,400.0,1.0,1510.0,1510.0,1510.0,1510.0,1510.0,517.0,12991.798839458414,6696.0,247167.0,15935.0,23727.0,517.0,400.0,6970.7475,2974.0,219263.0,8463.0,22639.0,docker
21,docker_6379i,10568.0,94.62528387585162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,6049.4375,3576.0,11439.0,8015.0,8991.0,96.0,416.0,1.0,1309.0,1309.0,1309.0,1309.0,1309.0,488.0,13288.52868852459,6552.0,143231.0,15759.0,30735.0,488.0,416.0,6751.228365384615,2530.0,128575.0,9295.0,20991.0,docker
22,docker_6379i,10345.0,96.66505558240696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,6154.45,4010.0,10215.0,8535.0,9679.0,80.0,396.0,1.0,1294.0,1294.0,1294.0,1294.0,1294.0,524.0,12605.790076335878,7236.0,67839.0,15695.0,20879.0,524.0,396.0,6790.921717171717,3022.0,206847.0,8415.0,13111.0,docker
23,docker_6379i,10549.0,94.79571523367144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,7180.047058823529,3302.0,97855.0,9823.0,10007.0,85.0,406.0,1.0,1175.0,1175.0,1175.0,1175.0,1175.0,509.0,12832.34970530452,7044.0,200959.0,15927.0,30399.0,509.0,406.0,6151.992610837438,2842.0,36447.0,8479.0,11687.0,docker
24,docker_6379i,10551.0,94.77774618519571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,6206.9390243902435,4048.0,10295.0,9239.0,9919.0,82.0,434.0,1.0,1537.0,1537.0,1537.0,1537.0,1537.0,484.0,12966.301652892562,5920.0,84415.0,16415.0,33855.0,484.0,434.0,6692.343317972351,3210.0,131327.0,8815.0,17231.0,docker
25,docker_6379i,10474.0,95.47450830628222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,7079.344086021505,3036.0,46367.0,8759.0,46143.0,93.0,421.0,1.0,1699.0,1699.0,1699.0,1699.0,1699.0,486.0,13039.674897119341,7460.0,85951.0,16343.0,37919.0,486.0,421.0,6991.268408551069,2710.0,287999.0,8647.0,13031.0,docker
26,docker_6379i,10439.0,95.79461634256155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,6079.387096774193,3296.0,9535.0,8079.0,9095.0,93.0,389.0,1.0,1168.0,1168.0,1168.0,1168.0,1168.0,518.0,13181.467181467182,7100.0,250623.0,16231.0,29775.0,518.0,389.0,6320.3136246786635,3392.0,27231.0,8719.0,13055.0,docker
27,docker_6379i,10345.0,96.66505558240696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,6066.151898734177,3862.0,11015.0,7843.0,8455.0,79.0,409.0,1.0,1193.0,1193.0,1193.0,1193.0,1193.0,512.0,13090.55859375,7060.0,152447.0,16343.0,32095.0,512.0,409.0,6883.083129584352,2522.0,236799.0,8535.0,13055.0,docker
28,docker_6379i,10449.0,95.70293808019906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,6197.857142857143,3474.0,39967.0,7587.0,16023.0,91.0,418.0,1.0,1443.0,1443.0,1443.0,1443.0,1443.0,491.0,13455.04684317719,7472.0,311807.0,15839.0,25423.0,491.0,418.0,6333.210526315789,2734.0,95039.0,8727.0,20431.0,docker
29,docker_6379i,10401.0,96.14460148062686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,6116.792682926829,3022.0,8623.0,8199.0,8615.0,82.0,439.0,1.0,1552.0,1552.0,1552.0,1552.0,1552.0,479.0,12796.363256784969,6336.0,180479.0,15759.0,20479.0,479.0,439.0,6880.1161731207285,2660.0,83519.0,9039.0,30639.0,docker
30,docker_6379i,10965.0,91.19927040583676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,6397.696202531645,2124.0,18847.0,8703.0,11863.0,79.0,381.0,1.0,1214.0,1214.0,1214.0,1214.0,1214.0,540.0,12991.007407407407,7276.0,232447.0,15775.0,23823.0,540.0,381.0,6491.482939632546,2752.0,58975.0,8807.0,14591.0,docker
31,docker_6379i,12118.0,82.5218682950982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,7469.8452380952385,3016.0,67071.0,9223.0,34943.0,84.0,410.0,1.0,1171.0,1171.0,1171.0,1171.0,1171.0,506.0,13386.9209486166,6468.0,291327.0,17407.0,43583.0,506.0,410.0,6784.109756097561,2894.0,135935.0,9063.0,18335.0,docker
32,docker_6379i,11754.0,85.07742045261188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,6370.5,2818.0,11319.0,9343.0,10799.0,88.0,378.0,1.0,1242.0,1242.0,1242.0,1242.0,1242.0,534.0,14958.629213483146,6928.0,354047.0,22895.0,43615.0,534.0,378.0,7072.806878306878,2974.0,77247.0,10039.0,13103.0,docker
33,docker_6379i,10610.0,94.2507068803016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,6484.088607594937,3656.0,17071.0,8775.0,9431.0,79.0,443.0,1.0,1428.0,1428.0,1428.0,1428.0,1428.0,478.0,13337.774058577406,7984.0,134527.0,16655.0,37023.0,478.0,443.0,6548.246049661399,3314.0,55935.0,8695.0,18959.0,docker
34,docker_6379i,10634.0,94.03799134850479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,6466.942857142857,3258.0,21807.0,9551.0,17359.0,70.0,412.0,1.0,1296.0,1296.0,1296.0,1296.0,1296.0,518.0,13043.644787644787,6792.0,102719.0,17503.0,43743.0,518.0,412.0,6415.223300970873,2728.0,114175.0,8511.0,19839.0,docker
35,docker_6379i,11040.0,90.57971014492753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,6328.425,3552.0,9431.0,8287.0,8815.0,80.0,414.0,1.0,1313.0,1313.0,1313.0,1313.0,1313.0,506.0,13744.03162055336,7384.0,148351.0,16655.0,51839.0,506.0,414.0,6781.98309178744,3178.0,61407.0,8743.0,23711.0,docker
