,instance,"OVERALL, RunTime(ms)","OVERALL, Throughput(ops/sec)","TOTAL_GCS_G1_Young_Generation, Count","TOTAL_GC_TIME_G1_Young_Generation, Time(ms)","TOTAL_GC_TIME_%_G1_Young_Generation, Time(%)","TOTAL_GCS_G1_Old_Generation, Count","TOTAL_GC_TIME_G1_Old_Generation, Time(ms)","TOTAL_GC_TIME_%_G1_Old_Generation, Time(%)","TOTAL_GCs, Count","TOTAL_GC_TIME, Time(ms)","TOTAL_GC_TIME_%, Time(%)","READ, Operations","READ, AverageLatency(us)","READ, MinLatency(us)","READ, MaxLatency(us)","READ, 95thPercentileLatency(us)","READ, 99thPercentileLatency(us)","READ, Return=OK","READ, Return=ERROR","CLEANUP, Operations","CLEANUP, AverageLatency(us)","CLEANUP, MinLatency(us)","CLEANUP, MaxLatency(us)","CLEANUP, 95thPercentileLatency(us)","CLEANUP, 99thPercentileLatency(us)","READ-FAILED, Operations","READ-FAILED, AverageLatency(us)","READ-FAILED, MinLatency(us)","READ-FAILED, MaxLatency(us)","READ-FAILED, 95thPercentileLatency(us)","READ-FAILED, 99thPercentileLatency(us)","INSERT, Operations","INSERT, AverageLatency(us)","INSERT, MinLatency(us)","INSERT, MaxLatency(us)","INSERT, 95thPercentileLatency(us)","INSERT, 99thPercentileLatency(us)","INSERT, Return=OK",source
0,docker_6379i,10811.0,92.49838127832763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,7143.788888888889,2514.0,89279.0,10983.0,16783.0,90.0,392.0,1.0,1496.0,1496.0,1496.0,1496.0,1496.0,392.0,6438.2295918367345,2830.0,34751.0,8855.0,25919.0,518.0,13077.320463320464,7300.0,245631.0,16831.0,32383.0,518.0,docker
1,docker_6379i,9561.0,104.59156991946449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,5922.0526315789475,3498.0,9199.0,8295.0,8663.0,76.0,424.0,1.0,1225.0,1225.0,1225.0,1225.0,1225.0,424.0,6187.726415094339,3236.0,39423.0,8311.0,14263.0,500.0,12099.844,6352.0,88319.0,14703.0,26559.0,500.0,docker
2,docker_6379i,12687.0,78.82084023015685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,6346.23595505618,3944.0,9519.0,8559.0,8959.0,89.0,397.0,1.0,2257.0,2256.0,2257.0,2257.0,2257.0,397.0,7558.317380352645,2310.0,143487.0,8847.0,31503.0,514.0,15864.556420233463,7408.0,199039.0,17039.0,147967.0,514.0,docker
3,docker_6379i,10453.0,95.66631589017507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,6119.182795698925,3300.0,35999.0,7563.0,8159.0,93.0,386.0,1.0,1278.0,1278.0,1278.0,1278.0,1278.0,386.0,6445.215025906736,2880.0,128447.0,8115.0,18607.0,521.0,12717.566218809981,6832.0,86015.0,16447.0,34303.0,521.0,docker
4,docker_6379i,12362.0,80.89305937550559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,6512.626168224299,3138.0,10855.0,8951.0,9551.0,107.0,388.0,1.0,1713.0,1713.0,1713.0,1713.0,1713.0,388.0,8217.73969072165,2806.0,142975.0,8983.0,122431.0,505.0,15429.196039603961,7632.0,159231.0,17103.0,148863.0,505.0,docker
5,docker_6379i,10275.0,97.32360097323601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,6141.944444444444,2854.0,10183.0,8967.0,9631.0,90.0,387.0,1.0,1195.0,1195.0,1195.0,1195.0,1195.0,387.0,6312.165374677003,2892.0,88575.0,8407.0,13911.0,523.0,12612.673040152964,7432.0,58175.0,15775.0,27199.0,523.0,docker
6,docker_6379i,10030.0,99.70089730807577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,6291.432692307692,2800.0,37471.0,8039.0,17903.0,104.0,401.0,1.0,1179.0,1179.0,1179.0,1179.0,1179.0,401.0,6781.83042394015,2636.0,306175.0,8059.0,13839.0,495.0,12843.523232323232,7080.0,284159.0,15903.0,31983.0,495.0,docker
7,docker_6379i,9870.0,101.31712259371834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,6373.426229508197,3990.0,20735.0,8575.0,9551.0,61.0,430.0,1.0,1194.0,1194.0,1194.0,1194.0,1194.0,430.0,5993.672093023256,2684.0,53247.0,8055.0,11743.0,509.0,12197.01768172888,6120.0,52063.0,15735.0,20687.0,509.0,docker
8,docker_6379i,9971.0,100.29084344599337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,6112.039473684211,3078.0,24255.0,8011.0,9023.0,76.0,416.0,1.0,2331.0,2330.0,2331.0,2331.0,2331.0,416.0,6163.677884615385,2500.0,38975.0,8079.0,13287.0,508.0,12426.035433070867,7044.0,140671.0,15439.0,28735.0,508.0,docker
9,docker_6379i,9716.0,102.9230135858378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,6505.2441860465115,2748.0,46495.0,8087.0,19119.0,86.0,433.0,1.0,2533.0,2532.0,2533.0,2533.0,2533.0,433.0,5967.884526558892,2512.0,39007.0,8303.0,13007.0,481.0,12486.361746361747,7588.0,139007.0,15359.0,30895.0,481.0,docker
