,instance,"OVERALL, RunTime(ms)","OVERALL, Throughput(ops/sec)","TOTAL_GCS_G1_Young_Generation, Count","TOTAL_GC_TIME_G1_Young_Generation, Time(ms)","TOTAL_GC_TIME_%_G1_Young_Generation, Time(%)","TOTAL_GCS_G1_Old_Generation, Count","TOTAL_GC_TIME_G1_Old_Generation, Time(ms)","TOTAL_GC_TIME_%_G1_Old_Generation, Time(%)","TOTAL_GCs, Count","TOTAL_GC_TIME, Time(ms)","TOTAL_GC_TIME_%, Time(%)","READ, Operations","READ, AverageLatency(us)","READ, MinLatency(us)","READ, MaxLatency(us)","READ, 95thPercentileLatency(us)","READ, 99thPercentileLatency(us)","READ, Return=OK","READ, Return=ERROR","CLEANUP, Operations","CLEANUP, AverageLatency(us)","CLEANUP, MinLatency(us)","CLEANUP, MaxLatency(us)","CLEANUP, 95thPercentileLatency(us)","CLEANUP, 99thPercentileLatency(us)","INSERT, Operations","INSERT, AverageLatency(us)","INSERT, MinLatency(us)","INSERT, MaxLatency(us)","INSERT, 95thPercentileLatency(us)","INSERT, 99thPercentileLatency(us)","INSERT, Return=OK","READ-FAILED, Operations","READ-FAILED, AverageLatency(us)","READ-FAILED, MinLatency(us)","READ-FAILED, MaxLatency(us)","READ-FAILED, 95thPercentileLatency(us)","READ-FAILED, 99thPercentileLatency(us)",source
0,unikernel_50i,9078.0,110.15642211940956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,5573.234042553191,3164.0,36383.0,8223.0,11663.0,94.0,402.0,1.0,1242.0,1242.0,1242.0,1242.0,1242.0,504.0,11000.769841269841,6520.0,74943.0,14039.0,30111.0,504.0,402.0,5518.746268656716,2478.0,71231.0,7607.0,9647.0,unikernel_dce
1,unikernel_50i,9369.0,106.73497705197994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,5481.090909090909,2418.0,10375.0,8123.0,9111.0,99.0,388.0,1.0,1303.0,1303.0,1303.0,1303.0,1303.0,513.0,11477.996101364522,5724.0,102399.0,15039.0,33055.0,513.0,388.0,5898.110824742268,2598.0,53503.0,8791.0,28319.0,unikernel_dce
2,unikernel_50i,10139.0,98.62905611993293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,5389.169014084507,2526.0,10303.0,7271.0,10087.0,71.0,399.0,1.0,1280.0,1280.0,1280.0,1280.0,1280.0,530.0,12716.298113207547,6208.0,137855.0,17983.0,37471.0,530.0,399.0,5680.586466165413,2692.0,35263.0,8311.0,12039.0,unikernel_dce
3,unikernel_50i,9049.0,110.5094485578517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,5887.905263157894,2652.0,90879.0,7899.0,20431.0,95.0,422.0,1.0,1325.0,1325.0,1325.0,1325.0,1325.0,483.0,11318.095238095239,6384.0,280575.0,13719.0,22991.0,483.0,422.0,5519.845971563981,2286.0,83711.0,7179.0,24975.0,unikernel_dce
4,unikernel_50i,9816.0,101.87449062754686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,5292.0,3058.0,15167.0,7683.0,9639.0,86.0,431.0,1.0,1581.0,1581.0,1581.0,1581.0,1581.0,483.0,12565.175983436853,5992.0,153471.0,17327.0,38815.0,483.0,431.0,6177.781902552204,1995.0,188159.0,8319.0,20927.0,unikernel_dce
5,unikernel_50i,9585.0,104.32968179447053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5276.027777777777,2716.0,8375.0,7519.0,8019.0,72.0,409.0,1.0,1295.0,1295.0,1295.0,1295.0,1295.0,519.0,11885.43352601156,6896.0,153343.0,16463.0,53439.0,519.0,409.0,5522.657701711491,2980.0,35295.0,7647.0,19119.0,unikernel_dce
6,unikernel_50i,9053.0,110.46062078868883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,4876.068965517241,2680.0,6863.0,6115.0,6815.0,87.0,436.0,1.0,1195.0,1195.0,1195.0,1195.0,1195.0,477.0,11626.670859538784,6644.0,136447.0,13823.0,31871.0,477.0,436.0,5658.98623853211,2328.0,126271.0,7355.0,11519.0,unikernel_dce
7,unikernel_50i,10336.0,96.74922600619195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,6570.906666666667,3434.0,57951.0,9023.0,15439.0,75.0,432.0,1.0,1529.0,1529.0,1529.0,1529.0,1529.0,493.0,13158.677484787018,6352.0,541695.0,16671.0,46527.0,493.0,432.0,6074.6875,2704.0,97215.0,9295.0,15591.0,unikernel_dce
8,unikernel_50i,9798.0,102.06164523372117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,5519.177777777778,3522.0,14775.0,7203.0,14391.0,90.0,416.0,1.0,1209.0,1209.0,1209.0,1209.0,1209.0,494.0,11795.627530364372,6816.0,126463.0,15199.0,47839.0,494.0,416.0,6290.360576923077,2730.0,278271.0,8551.0,18239.0,unikernel_dce
9,unikernel_50i,9227.0,108.37758751490192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,5257.795454545455,2728.0,15447.0,7263.0,7635.0,88.0,408.0,1.0,1256.0,1256.0,1256.0,1256.0,1256.0,504.0,11137.535714285714,6512.0,91391.0,15239.0,29647.0,504.0,408.0,5927.392156862745,2416.0,112703.0,7623.0,13663.0,unikernel_dce
10,unikernel_50i,8895.0,112.42270938729624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,5809.148148148148,2208.0,39583.0,7615.0,9631.0,81.0,439.0,1.0,1269.0,1269.0,1269.0,1269.0,1269.0,480.0,11105.8625,6224.0,186751.0,14511.0,25327.0,480.0,439.0,5989.182232346241,2404.0,187135.0,8231.0,15095.0,unikernel_dce
11,unikernel_50i,9346.0,106.99764605178686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,5168.2962962962965,2748.0,9215.0,6671.0,8103.0,81.0,415.0,1.0,1759.0,1759.0,1759.0,1759.0,1759.0,504.0,11393.873015873016,6280.0,57951.0,15175.0,22575.0,504.0,415.0,6514.183132530121,2662.0,441343.0,7627.0,13639.0,unikernel_dce
12,unikernel_50i,9416.0,106.20220900594732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,5063.238636363636,2678.0,11423.0,8039.0,9439.0,88.0,395.0,1.0,1462.0,1462.0,1462.0,1462.0,1462.0,517.0,11167.141199226306,6808.0,122367.0,14223.0,20783.0,517.0,395.0,5396.081012658228,3366.0,30047.0,7571.0,10919.0,unikernel_dce
13,unikernel_50i,9053.0,110.46062078868883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,5305.922222222222,3006.0,16495.0,6719.0,8023.0,90.0,437.0,1.0,1193.0,1193.0,1193.0,1193.0,1193.0,473.0,11391.112050739957,7016.0,126911.0,14751.0,26399.0,473.0,437.0,5647.395881006865,3040.0,67327.0,8059.0,20863.0,unikernel_dce
14,unikernel_50i,10333.0,96.77731539727088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,5413.25,3396.0,12879.0,7439.0,9295.0,92.0,400.0,1.0,1437.0,1437.0,1437.0,1437.0,1437.0,508.0,12649.141732283464,6184.0,149119.0,17583.0,41151.0,508.0,400.0,6343.0625,2632.0,186623.0,8535.0,19375.0,unikernel_dce
15,unikernel_50i,10038.0,99.62143853357243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,5506.076086956522,2650.0,34847.0,7531.0,14007.0,92.0,385.0,1.0,1203.0,1203.0,1203.0,1203.0,1203.0,523.0,11925.525812619502,6604.0,300543.0,15391.0,43295.0,523.0,385.0,5966.005194805195,2580.0,58079.0,8839.0,32447.0,unikernel_dce
16,unikernel_50i,9389.0,106.50761529449356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,5246.0114942528735,2934.0,10415.0,7283.0,7771.0,87.0,437.0,1.0,4510.0,4508.0,4511.0,4511.0,4511.0,476.0,12075.063025210084,5912.0,319487.0,14399.0,43455.0,476.0,437.0,5703.107551487415,2506.0,47359.0,7899.0,25759.0,unikernel_dce
17,unikernel_50i,9171.0,109.03936321011885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,5282.878048780488,3144.0,8959.0,7607.0,7975.0,82.0,434.0,1.0,1264.0,1264.0,1264.0,1264.0,1264.0,484.0,11507.44214876033,7100.0,138111.0,14943.0,30975.0,484.0,434.0,6145.117511520737,2210.0,273663.0,7535.0,15911.0,unikernel_dce
18,unikernel_50i,8672.0,115.31365313653137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,4900.480519480519,2508.0,7339.0,6547.0,7171.0,77.0,429.0,1.0,1239.0,1239.0,1239.0,1239.0,1239.0,494.0,11157.975708502025,5616.0,86143.0,14399.0,43935.0,494.0,429.0,5730.834498834499,2578.0,46655.0,7759.0,35647.0,unikernel_dce
19,unikernel_50i,9549.0,104.72300764477956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,5265.8494623655915,2774.0,8075.0,6979.0,7315.0,93.0,414.0,1.0,1653.0,1653.0,1653.0,1653.0,1653.0,493.0,11625.079107505071,7540.0,121727.0,15615.0,37055.0,493.0,414.0,5595.594202898551,2872.0,29055.0,7643.0,16735.0,unikernel_dce
20,unikernel_50i,9455.0,105.76414595452141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,5340.988372093023,2902.0,8463.0,7083.0,7995.0,86.0,420.0,1.0,1340.0,1340.0,1340.0,1340.0,1340.0,494.0,11611.8987854251,7000.0,85247.0,15303.0,38015.0,494.0,420.0,5977.659523809524,2368.0,166655.0,7635.0,12727.0,unikernel_dce
21,unikernel_50i,9391.0,106.48493238206794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,5472.818181818182,2942.0,10519.0,7927.0,9231.0,99.0,422.0,1.0,1220.0,1220.0,1220.0,1220.0,1220.0,479.0,11745.594989561587,6116.0,104959.0,15735.0,36351.0,479.0,422.0,5733.383886255924,2888.0,67455.0,8131.0,14119.0,unikernel_dce
22,unikernel_50i,10622.0,94.14422895876483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,5180.559139784947,2348.0,8399.0,6875.0,7491.0,93.0,404.0,1.0,1890.0,1890.0,1890.0,1890.0,1890.0,503.0,13798.489065606362,6436.0,181247.0,15391.0,144895.0,503.0,404.0,6650.230198019802,3056.0,140927.0,7911.0,43007.0,unikernel_dce
23,unikernel_50i,9138.0,109.4331363536879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,5464.652173913043,3196.0,19119.0,7259.0,10039.0,92.0,415.0,1.0,1284.0,1284.0,1284.0,1284.0,1284.0,493.0,11306.271805273833,7188.0,66687.0,14503.0,32623.0,493.0,415.0,5553.146987951807,2352.0,56863.0,7507.0,11263.0,unikernel_dce
24,unikernel_50i,9536.0,104.86577181208054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,5433.449275362319,2754.0,14879.0,7687.0,9847.0,69.0,436.0,1.0,1296.0,1296.0,1296.0,1296.0,1296.0,495.0,12461.450505050505,5876.0,308735.0,15599.0,47871.0,495.0,436.0,5742.834862385321,2712.0,68351.0,7943.0,15239.0,unikernel_dce
25,unikernel_50i,8974.0,111.43302874972142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5159.24,2940.0,8615.0,6787.0,7339.0,100.0,419.0,1.0,1240.0,1240.0,1240.0,1240.0,1240.0,481.0,11625.326403326404,6628.0,272895.0,14999.0,19343.0,481.0,419.0,5517.286396181385,2742.0,82239.0,7479.0,9247.0,unikernel_dce
26,unikernel_50i,9253.0,108.07305738679348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,5263.116279069767,3166.0,13143.0,7055.0,11679.0,86.0,426.0,1.0,1406.0,1406.0,1406.0,1406.0,1406.0,488.0,11804.204918032787,6744.0,280831.0,15087.0,41151.0,488.0,426.0,5541.530516431925,2944.0,54911.0,7651.0,12775.0,unikernel_dce
27,unikernel_50i,9654.0,103.58400662937642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,6102.61797752809,2886.0,54495.0,9207.0,10535.0,89.0,404.0,1.0,1331.0,1331.0,1331.0,1331.0,1331.0,507.0,11141.739644970414,5824.0,88575.0,14887.0,20383.0,507.0,404.0,5814.507425742574,2340.0,132991.0,7487.0,15023.0,unikernel_dce
28,unikernel_50i,8972.0,111.45786892554614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,5224.219512195122,2754.0,13151.0,7859.0,8019.0,82.0,412.0,1.0,1315.0,1315.0,1315.0,1315.0,1315.0,506.0,11125.652173913044,6612.0,184447.0,13871.0,22111.0,506.0,412.0,5557.788834951456,2434.0,44703.0,7563.0,23039.0,unikernel_dce
29,unikernel_50i,9157.0,109.20607185759528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,5305.455555555555,3204.0,19455.0,6851.0,8775.0,90.0,389.0,1.0,1421.0,1421.0,1421.0,1421.0,1421.0,521.0,10998.856046065259,5828.0,212223.0,14031.0,24191.0,521.0,389.0,5645.231362467866,2702.0,105727.0,7587.0,14615.0,unikernel_dce
30,unikernel_50i,9195.0,108.7547580206634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,5542.714285714285,3470.0,36767.0,7111.0,9215.0,77.0,431.0,1.0,1581.0,1581.0,1581.0,1581.0,1581.0,492.0,11998.060975609756,6932.0,323839.0,14887.0,39103.0,492.0,431.0,5915.524361948956,2730.0,132351.0,7247.0,19535.0,unikernel_dce
31,unikernel_50i,9219.0,108.47163466753445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,5194.108695652174,2984.0,18767.0,6491.0,7519.0,92.0,419.0,1.0,4039.0,4038.0,4039.0,4039.0,4039.0,489.0,11398.650306748466,5852.0,161151.0,15647.0,29839.0,489.0,419.0,5737.365155131265,2450.0,148735.0,7787.0,10999.0,unikernel_dce
32,unikernel_50i,9452.0,105.79771476936098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,5325.7027027027025,2636.0,8471.0,7243.0,8151.0,74.0,437.0,1.0,1262.0,1262.0,1262.0,1262.0,1262.0,489.0,12350.961145194275,6392.0,285183.0,15575.0,40127.0,489.0,437.0,5718.372997711671,2524.0,84031.0,8159.0,25327.0,unikernel_dce
33,unikernel_50i,9577.0,104.41683199331732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,5603.410256410257,3230.0,10535.0,7563.0,10191.0,78.0,429.0,1.0,1300.0,1300.0,1300.0,1300.0,1300.0,493.0,11679.95537525355,6476.0,217343.0,14447.0,20687.0,493.0,429.0,6006.475524475524,2722.0,144383.0,8015.0,11255.0,unikernel_dce
34,unikernel_50i,9183.0,108.89687465969726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,5574.727272727273,3758.0,25871.0,7399.0,15127.0,77.0,445.0,1.0,1358.0,1358.0,1358.0,1358.0,1358.0,478.0,11377.205020920503,6604.0,129855.0,15383.0,42751.0,478.0,445.0,6021.775280898876,2710.0,174335.0,7799.0,14191.0,unikernel_dce
35,unikernel_50i,9291.0,107.63104079216446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,5526.55421686747,2622.0,43647.0,6431.0,7395.0,83.0,414.0,1.0,1444.0,1444.0,1444.0,1444.0,1444.0,503.0,11475.988071570577,6324.0,116095.0,15079.0,34527.0,503.0,414.0,5386.311594202899,2474.0,32703.0,7315.0,18271.0,unikernel_dce
36,unikernel_50i,9183.0,108.89687465969726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,5198.09756097561,2928.0,15935.0,6731.0,7267.0,82.0,428.0,1.0,1300.0,1300.0,1300.0,1300.0,1300.0,490.0,11310.918367346938,6556.0,59231.0,14463.0,39199.0,490.0,428.0,5756.182242990654,2462.0,118399.0,7995.0,13119.0,unikernel_dce
