,timestamp,user,pid,cpu,mem,vsz,rss,tty,stat,start,time,cmd
0,00:05:12,root,1267,0.0,0.5,1825032,85452,?,Ssl,mai14,0:01,/usr/bin/dockerd
1,00:05:12,kernux,2587,0.0,0.4,21209236,65356,?,Sl,mai14,0:00,/usr/share/code/code
2,00:05:12,kernux,2588,0.0,0.4,21209236,65192,?,Sl,mai14,0:00,/usr/share/code/code
3,00:05:12,kernux,21681,0.7,0.0,7560,6536,pts/0,S+,00:04,0:00,docker-compose
4,00:05:12,kernux,21688,2.3,0.2,298596,43612,pts/0,Sl+,00:04,0:00,docker-compose
5,00:05:12,root,21821,0.0,0.0,1075120,4184,?,Sl,00:04,0:00,/usr/bin/docker-proxy
6,00:05:12,root,21830,0.0,0.0,1075376,3504,?,Sl,00:04,0:00,/usr/bin/docker-proxy
7,00:05:12,kernux,22424,1.0,0.2,1498464,48376,pts/1,Sl+,00:05,0:00,docker
8,00:05:12,kernux,22463,3.0,0.2,1498464,45932,pts/1,Sl+,00:05,0:00,docker
9,00:05:13,root,1267,0.0,0.5,1825032,85452,?,Ssl,mai14,0:01,/usr/bin/dockerd
10,00:05:13,kernux,2587,0.0,0.4,21209236,65356,?,Sl,mai14,0:00,/usr/share/code/code
11,00:05:13,kernux,2588,0.0,0.4,21209236,65192,?,Sl,mai14,0:00,/usr/share/code/code
12,00:05:13,kernux,21681,0.7,0.0,7560,6536,pts/0,S+,00:04,0:00,docker-compose
13,00:05:13,kernux,21688,2.2,0.2,298596,43612,pts/0,Sl+,00:04,0:00,docker-compose
14,00:05:13,root,21821,0.0,0.0,1075120,4184,?,Sl,00:04,0:00,/usr/bin/docker-proxy
15,00:05:13,root,21830,0.0,0.0,1075376,3504,?,Sl,00:04,0:00,/usr/bin/docker-proxy
16,00:05:13,kernux,22463,1.5,0.2,1498464,45932,pts/1,Sl+,00:05,0:00,docker
17,00:05:13,kernux,22491,2.0,0.2,1498208,46820,pts/1,Sl+,00:05,0:00,docker
18,00:05:14,root,1267,0.0,0.5,1825032,85452,?,Ssl,mai14,0:01,/usr/bin/dockerd
19,00:05:14,kernux,2587,0.0,0.4,21209236,65356,?,Sl,mai14,0:00,/usr/share/code/code
20,00:05:14,kernux,2588,0.0,0.4,21209236,65192,?,Sl,mai14,0:00,/usr/share/code/code
21,00:05:14,kernux,21681,0.7,0.0,7560,6536,pts/0,S+,00:04,0:00,docker-compose
22,00:05:14,kernux,21688,2.1,0.2,298596,43612,pts/0,Sl+,00:04,0:00,docker-compose
23,00:05:14,root,21821,0.0,0.0,1075120,4184,?,Sl,00:04,0:00,/usr/bin/docker-proxy
