,timestamp,CONTAINER ID,source,id,CPU (%),MEM USAGE,LIMIT,MEM %,NET IN,NET OUT,BLOCK IN,BLOCK OUT,PIDS
0,00:23:06,7a5d590f0972,docker_redis_1,1,0.19,2.81018368,419.4304,0.67%,0.00114,0.0,3.18,0.0,4
1,00:23:07,7a5d590f0972,docker_redis_1,1,0.16,2.81018368,419.4304,0.67%,0.00388,0.0,3.18,0.0,4
2,00:23:08,7a5d590f0972,docker_redis_1,1,0.17,2.81018368,419.4304,0.67%,0.00515,0.0,3.18,0.0,4
3,00:23:09,7a5d590f0972,docker_redis_1,1,0.17,2.81018368,419.4304,0.67%,0.00553,0.0,3.18,0.0,4
4,00:23:10,7a5d590f0972,docker_redis_1,1,0.20,2.81018368,419.4304,0.67%,0.00591,0.0,3.18,0.0,4
5,00:23:11,7a5d590f0972,docker_redis_1,1,0.15,2.81018368,419.4304,0.67%,0.00591,0.0,3.18,0.0,4
6,00:23:12,7a5d590f0972,docker_redis_1,1,0.17,2.81018368,419.4304,0.67%,0.00601,0.0,3.18,0.0,4
7,00:23:13,7a5d590f0972,docker_redis_1,1,0.17,2.81018368,419.4304,0.67%,0.00612,0.0,3.18,0.0,4
8,00:23:14,7a5d590f0972,docker_redis_1,1,0.20,2.81018368,419.4304,0.67%,0.00612,0.0,3.18,0.0,4
9,00:23:16,7a5d590f0972,docker_redis_1,1,1.36,2.875195392,419.4304,0.69%,0.037,0.00369,3.19,0.0,4
10,00:23:17,7a5d590f0972,docker_redis_1,1,5.47,3.0429675520000004,419.4304,0.73%,0.266,0.0379,3.19,0.0,4
11,00:23:18,7a5d590f0972,docker_redis_1,1,6.07,3.2107397119999996,419.4304,0.77%,0.642,0.1,3.19,0.0,4
12,00:23:19,7a5d590f0972,docker_redis_1,1,7.96,3.3260830720000003,419.4304,0.79%,1.24,0.198,3.19,0.0,4
13,00:23:20,7a5d590f0972,docker_redis_1,1,9.32,3.472883712,419.4304,0.83%,2.01,0.335,3.19,0.0,4
14,00:23:21,7a5d590f0972,docker_redis_1,1,9.88,3.6081500159999997,419.4304,0.86%,2.92,0.507,3.19,0.0,4
15,00:23:22,7a5d590f0972,docker_redis_1,1,8.72,3.7276876800000003,419.4304,0.89%,3.97,0.715,3.19,0.0,4
16,00:23:23,7a5d590f0972,docker_redis_1,1,11.15,3.8744883199999998,419.4304,0.92%,5.12,0.974,3.19,0.0,4
17,00:23:24,7a5d590f0972,docker_redis_1,1,13.19,3.9772487680000004,419.4304,0.95%,6.43,1.27,3.19,0.0,4
18,00:23:25,7a5d590f0972,docker_redis_1,1,12.89,4.050649088,419.4304,0.97%,7.8,1.57,3.19,0.0,4
19,00:23:26,7a5d590f0972,docker_redis_1,1,12.99,4.054843392,419.4304,0.97%,9.13,1.9,3.19,0.0,4
20,00:23:27,7a5d590f0972,docker_redis_1,1,9.60,4.059037696,419.4304,0.97%,10.4,2.19,3.19,0.0,4
21,00:23:28,7a5d590f0972,docker_redis_1,1,11.77,4.063232,419.4304,0.97%,11.7,2.5,3.19,0.0,4
22,00:23:29,7a5d590f0972,docker_redis_1,1,11.60,4.067426304,419.4304,0.97%,12.8,2.8,3.19,0.0,4
23,00:23:30,7a5d590f0972,docker_redis_1,1,11.56,4.071620608,419.4304,0.97%,14.1,3.07,3.19,0.0,4
