,timestamp,procs_r,procs_b,mem_swpd,mem_free,mem_buff,mem_cache,swap_si,swap_so,io_bi,io_bo,sys_in,sys_cs,cpu_us,cpu_sy,cpu_id,cpu_wa,cpu_st
0,17:13:12,4,0,0,13014.848,90808,1634964,0,0,40,14,917,217,79,3,16,2,0
1,17:13:13,1,0,0,13015.4,90808,1632388,0,0,40,14,917,217,79,3,16,2,0
2,17:13:15,3,0,0,13019.708,90808,1632312,0,0,40,14,917,218,79,3,16,2,0
3,17:13:16,2,0,0,13022.716,90816,1632332,0,0,40,14,917,218,79,3,16,2,0
4,17:13:17,2,0,0,13023.896,90816,1632436,0,0,40,14,917,219,79,3,16,2,0
5,17:13:18,1,0,0,13021.596,90816,1632600,0,0,40,14,917,219,79,3,16,2,0
6,17:13:19,2,0,0,13022.68,90816,1632616,0,0,40,14,917,219,79,3,16,2,0
7,17:13:20,5,0,0,13033.416,90816,1632664,0,0,40,14,916,220,79,3,16,2,0
8,17:13:21,7,0,0,13036.212,90824,1632688,0,0,40,14,916,220,79,3,16,2,0
9,17:13:22,4,0,0,13035.156,90824,1632712,0,0,40,14,916,221,79,3,16,2,0
10,17:13:23,11,0,0,13033.912,90824,1632740,0,0,40,14,916,221,79,3,16,2,0
11,17:13:24,1,0,0,13031.628,90824,1632764,0,0,40,14,916,221,79,3,17,2,0
12,17:13:25,6,0,0,13030.92,90824,1632764,0,0,40,14,916,222,79,3,17,2,0
13,17:13:26,1,0,0,13030.928,90832,1632784,0,0,40,14,916,222,79,3,17,2,0
14,17:13:27,4,0,0,13031.084,90832,1632812,0,0,40,14,916,222,79,3,17,2,0
15,17:13:28,2,0,0,13030.864,90832,1632832,0,0,40,14,916,223,79,3,17,2,0
16,17:13:29,3,0,0,13030.512,90832,1632860,0,0,40,14,916,223,79,3,17,2,0
17,17:13:30,3,0,0,13026.756,90832,1632888,0,0,40,14,915,223,79,3,17,2,0
18,17:13:31,2,0,0,13024.032,90844,1632896,0,0,40,14,915,224,79,3,17,2,0
19,17:13:32,3,0,0,13019.692,90844,1632996,0,0,40,14,916,224,79,3,17,2,0
20,17:13:33,4,0,0,13017.132,90844,1633156,0,0,40,14,916,225,79,3,17,2,0
21,17:13:34,3,0,0,13016.852,90844,1633124,0,0,40,14,916,226,79,3,17,2,0
22,17:13:35,4,0,0,13014.256,90844,1633144,0,0,40,14,916,226,79,3,17,1,0
23,17:13:37,14,0,0,13013.332,90852,1633156,0,0,40,14,916,227,79,3,17,1,0
24,17:13:38,8,0,0,13009.032,90852,1633188,0,0,40,14,916,228,79,3,17,1,0
25,17:13:39,5,0,0,13004.324,90852,1633220,0,0,40,14,916,229,79,3,17,1,0
26,17:13:40,7,0,0,13003.092,90852,1633228,0,0,40,14,917,229,79,3,17,1,0
27,17:13:41,2,1,0,13004.032,90860,1633252,0,0,40,14,917,230,79,3,17,1,0
28,17:13:42,1,0,0,13004.212,90860,1633316,0,0,40,14,917,231,79,3,17,1,0
29,17:13:43,5,1,0,13003.964,90864,1633408,0,0,40,14,917,231,79,3,17,1,0
30,17:13:44,1,0,0,13003.14,90864,1633448,0,0,40,14,917,232,79,3,17,1,0
31,17:13:45,11,0,0,13002.988,90864,1633468,0,0,40,14,917,232,79,3,17,1,0
32,17:13:46,1,0,0,13001.848,90872,1633408,0,0,40,14,917,233,79,3,17,1,0
