,timestamp,mem_total,mem_used,mem_free,mem_shared,mem_cache,mem_available,swap_total,swap_used,swap_free
0,21:16:31,16229428,1269516,13242260,249612,1717652,14766.972928,2097148,0,2097148
1,21:16:32,16229428,1352280,13158596,247768,1718552,14684.307455999999,2097148,0,2097148
2,21:16:33,16229428,1276468,13219896,258908,1733064,14750.523392,2097148,0,2097148
3,21:16:34,16229428,1294348,13203296,257528,1731784,14733.627391999999,2097148,0,2097148
4,21:16:35,16229428,1299976,13196628,258500,1732824,14726.844416,2097148,0,2097148
5,21:16:36,16229428,1297000,13201912,256164,1730516,14732.279808,2097148,0,2097148
6,21:16:37,16229428,1295932,13203856,255240,1729640,14734.303232,2097148,0,2097148
7,21:16:38,16229428,1296344,13207456,251204,1725628,14738.014207999999,2097148,0,2097148
8,21:16:40,16229428,1295024,13208628,251204,1725776,14739.365887999998,2097148,0,2097148
9,21:16:41,16229428,1296952,13208504,249384,1723972,14739.255296,2097148,0,2097148
10,21:16:42,16229428,1299448,13206156,249220,1723824,14736.867327999998,2097148,0,2097148
11,21:16:43,16229428,1300884,13205464,248440,1723080,14736.195584,2097148,0,2097148
12,21:16:44,16229428,1301324,13205028,248404,1723076,14735.781888,2097148,0,2097148
13,21:16:45,16229428,1302692,13203644,248404,1723092,14734.381056,2097148,0,2097148
14,21:16:46,16229428,1303168,13203152,248404,1723108,14733.897728,2097148,0,2097148
15,21:16:47,16229428,1301804,13204500,248404,1723124,14735.310848,2097148,0,2097148
16,21:16:48,16229428,1302712,13203576,248404,1723140,14734.381056,2097148,0,2097148
17,21:16:49,16229428,1304048,13202224,248396,1723156,14733.017087999999,2097148,0,2097148
18,21:16:50,16229428,1305136,13201148,248360,1723144,14731.948032,2097148,0,2097148
19,21:16:51,16229428,1305564,13200704,248360,1723160,14731.509759999999,2097148,0,2097148
20,21:16:52,16229428,1310264,13195992,248360,1723172,14726.69696,2097148,0,2097148
21,21:16:53,16229428,1308380,13197844,248360,1723204,14728.617983999999,2097148,0,2097148
22,21:16:54,16229428,1325992,13180212,248360,1723224,14710.616064,2097148,0,2097148
23,21:16:55,16229428,1336116,13163772,254604,1729540,14693.855232,2097148,0,2097148
24,21:16:56,16229428,1334960,13165880,253620,1728588,14696.030208,2097148,0,2097148
25,21:16:57,16229428,1334236,13167532,252696,1727660,14697.725951999999,2097148,0,2097148
26,21:16:58,16229428,1333856,13171348,249240,1724224,14701.654015999999,2097148,0,2097148
27,21:16:59,16229428,1332640,13172544,249236,1724244,14702.936064,2097148,0,2097148
28,21:17:00,16229428,1334864,13170288,249252,1724276,14700.642303999999,2097148,0,2097148
29,21:17:02,16229428,1332468,13172632,249252,1724328,14703.079424,2097148,0,2097148
30,21:17:03,16229428,1333564,13172144,248604,1723720,14702.686208,2097148,0,2097148
31,21:17:04,16229428,1329524,13176420,248340,1723484,14707.109887999999,2097148,0,2097148
32,21:17:05,16229428,1328096,13177828,248340,1723504,14708.617215999999,2097148,0,2097148
33,21:17:06,16229428,1329404,13176500,248340,1723524,14707.28192,2097148,0,2097148
34,21:17:07,16229428,1329648,13176240,248340,1723540,14707.032063999999,2097148,0,2097148
35,21:17:08,16229428,1330160,13175660,248404,1723608,14706.438144,2097148,0,2097148
36,21:17:09,16229428,1329292,13176624,248292,1723512,14707.441664,2097148,0,2097148
37,21:17:10,16229428,1328624,13177196,248360,1723608,14708.027392,2097148,0,2097148
38,21:17:11,16229428,1331492,13168156,254548,1729780,14698.749952,2097148,0,2097148
39,21:17:12,16229428,1313564,13187180,253436,1728684,14718.246911999999,2097148,0,2097148
40,21:17:13,16229428,1313556,13188092,252456,1727780,14719.197183999999,2097148,0,2097148
41,21:17:14,16229428,1309172,13195892,249040,1724364,14727.233536,2097148,0,2097148
42,21:17:15,16229428,1310116,13194936,249036,1724376,14726.26688,2097148,0,2097148
43,21:17:16,16229428,1317172,13184016,252884,1728240,14715.101184,2097148,0,2097148
44,21:17:17,16229428,1313980,13187976,252100,1727472,14719.160319999999,2097148,0,2097148
45,21:17:18,16229428,1313408,13188680,251956,1727340,14719.893504,2097148,0,2097148
46,21:17:19,16229428,1313004,13192592,248432,1723832,14723.8912,2097148,0,2097148
47,21:17:20,16229428,1311680,13193904,248428,1723844,14725.24288,2097148,0,2097148
48,21:17:22,16229428,1313668,13188044,252288,1727716,14719.254528,2097148,0,2097148
49,21:17:23,16229428,1315260,13186596,252116,1727572,14717.800448,2097148,0,2097148
50,21:17:24,16229428,1315704,13189408,248820,1724316,14720.733183999999,2097148,0,2097148
51,21:17:25,16229428,1314056,13191348,248492,1724024,14722.772992,2097148,0,2097148
52,21:17:26,16229428,1312336,13193068,248492,1724024,14724.534271999999,2097148,0,2097148
53,21:17:27,16229428,1314504,13190876,248492,1724048,14722.31424,2097148,0,2097148
54,21:17:28,16229428,1315932,13189372,248556,1724124,14720.753664,2097148,0,2097148
55,21:17:29,16229428,1314564,13190836,248424,1724028,14722.27328,2097148,0,2097148
56,21:17:30,16229428,1313628,13191864,248296,1723936,14723.366912,2097148,0,2097148
57,21:17:31,16229428,1329068,13176388,248296,1723972,14707.548159999998,2097148,0,2097148
58,21:17:32,16229428,1334472,13167016,252244,1727940,14697.959423999999,2097148,0,2097148
59,21:17:33,16229428,1335492,13166060,252164,1727876,14697.017344,2097148,0,2097148
60,21:17:34,16229428,1334692,13167244,251760,1727492,14698.25024,2097148,0,2097148
61,21:17:35,16229428,1332924,13172348,248400,1724156,14703.501311999999,2097148,0,2097148
62,21:17:36,16229428,1333560,13171700,248396,1724168,14702.874624,2097148,0,2097148
63,21:17:37,16229428,1333868,13171312,248460,1724248,14702.493696,2097148,0,2097148
64,21:17:38,16229428,1332636,13172524,248460,1724268,14703.755264,2097148,0,2097148
65,21:17:39,16229428,1332764,13172328,248492,1724336,14703.583231999999,2097148,0,2097148
66,21:17:41,16229428,1333060,13172040,248460,1724328,14703.321087999999,2097148,0,2097148
67,21:17:42,16229428,1333432,13171696,248460,1724300,14702.96064,2097148,0,2097148
68,21:17:43,16229428,1334132,13170780,248524,1724516,14702.178304,2097148,0,2097148
69,21:17:44,16229428,1346072,13158888,248460,1724468,14690.021375999999,2097148,0,2097148
70,21:17:45,16229428,1346132,13158804,248460,1724492,14689.959936,2097148,0,2097148
71,21:17:46,16229428,1347144,13157904,248332,1724380,14689.05472,2097148,0,2097148
72,21:17:47,16229428,1337276,13167724,248360,1724428,14699.130879999999,2097148,0,2097148
73,21:17:48,16229428,1321532,13179508,252300,1728388,14711.218175999998,2097148,0,2097148
74,21:17:49,16229428,1320684,13180216,252420,1728528,14711.955456,2097148,0,2097148
75,21:17:50,16229428,1320064,13181308,251936,1728056,14713.065472,2097148,0,2097148
76,21:17:51,16229428,1320268,13184476,248536,1724684,14716.338176,2097148,0,2097148
77,21:17:52,16229428,1318696,13186036,248532,1724696,14717.947903999999,2097148,0,2097148
78,21:17:53,16229428,1326580,13174264,252380,1728584,14705.922047999999,2097148,0,2097148
79,21:17:54,16229428,1326088,13174932,252156,1728408,14706.638847999999,2097148,0,2097148
80,21:17:55,16229428,1321368,13182972,248812,1725088,14714.888191999999,2097148,0,2097148
81,21:17:56,16229428,1319252,13185388,248492,1724788,14717.390848,2097148,0,2097148
82,21:17:57,16229428,1320072,13184556,248492,1724800,14716.60032,2097148,0,2097148
83,21:17:58,16229428,1318836,13185772,248492,1724820,14717.865984,2097148,0,2097148
